"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test filter by muscles with validation of the number of exercises","96408","checkCountExercisesWithFilterByMuscle","Surefire suite","Wed Jan 15 11:10:31 GMT 2025","failed","Wed Jan 15 11:12:07 GMT 2025","tests.ExerciseDatabasePageTest","Surefire test","tests.ExerciseDatabasePageTest","checkCountExercisesWithFilterByMuscle"
"Test create custom exercises and delete after assert","31855","checkCreateCustomExercises","Surefire suite","Wed Jan 15 11:07:55 GMT 2025","passed","Wed Jan 15 11:08:27 GMT 2025","tests.ExercisesPageTest","Surefire test","tests.ExercisesPageTest","checkCreateCustomExercises"
"Test of choosing a training plan and transition to creating a printed version. and delete after assert","15662","checkPrintablePlan","Surefire suite","Wed Jan 15 11:07:39 GMT 2025","passed","Wed Jan 15 11:07:55 GMT 2025","tests.WorkoutsPageTest","Surefire test","tests.WorkoutsPageTest","checkPrintablePlan"
"Select most popular post","6212","checkPopularPost","Surefire suite","Wed Jan 15 11:07:14 GMT 2025","passed","Wed Jan 15 11:07:20 GMT 2025","tests.BlogPageTest","Surefire test","tests.BlogPageTest","checkPopularPost"
"Test add session and delete after assert","9135","checkAddSession","Surefire suite","Wed Jan 15 11:12:21 GMT 2025","passed","Wed Jan 15 11:12:30 GMT 2025","tests.ProgressPageTest","Surefire test","tests.ProgressPageTest","checkAddSession"
"Test of correct filter operation with filters","8372","checkCorrectnessOfFiltersOperation","Surefire suite","Wed Jan 15 11:08:45 GMT 2025","passed","Wed Jan 15 11:08:53 GMT 2025","tests.ExerciseDatabasePageTest","Surefire test","tests.ExerciseDatabasePageTest","checkCorrectnessOfFiltersOperation"
"Check create new post at page Discover. And Delete post after assert","7007","checkCreateNewPost","Surefire suite","Wed Jan 15 11:12:31 GMT 2025","passed","Wed Jan 15 11:12:38 GMT 2025","tests.DiscoverPageTest","Surefire test","tests.DiscoverPageTest","checkCreateNewPost"
"Test add new note and delete after assert","13189","checkAddNewNote","Surefire suite","Wed Jan 15 11:12:08 GMT 2025","passed","Wed Jan 15 11:12:21 GMT 2025","tests.ProgressPageTest","Surefire test","tests.ProgressPageTest","checkAddNewNote"
"Test creating a new training day and delete after assert","18178","checkCreateNewDayPlan","Surefire suite","Wed Jan 15 11:07:21 GMT 2025","passed","Wed Jan 15 11:07:39 GMT 2025","tests.WorkoutsPageTest","Surefire test","tests.WorkoutsPageTest","checkCreateNewDayPlan"
"Test search workouts plan with filters and delete after assert","8850","checkSearchWorkoutsPlans","Surefire suite","Wed Jan 15 11:08:35 GMT 2025","passed","Wed Jan 15 11:08:44 GMT 2025","tests.RoutineDatabasePageTest","Surefire test","tests.RoutineDatabasePageTest","checkSearchWorkoutsPlans"
"Test filter by equipment with validation of the number of exercises","97220","checkCountExercisesWithFilterByEquipment","Surefire suite","Wed Jan 15 11:08:53 GMT 2025","failed","Wed Jan 15 11:10:30 GMT 2025","tests.ExerciseDatabasePageTest","Surefire test","tests.ExerciseDatabasePageTest","checkCountExercisesWithFilterByEquipment"
"Workout Sorting Test (Most Viewed). And delete after assert","7424","checkMostViewedPlan","Surefire suite","Wed Jan 15 11:08:28 GMT 2025","passed","Wed Jan 15 11:08:35 GMT 2025","tests.RoutineDatabasePageTest","Surefire test","tests.RoutineDatabasePageTest","checkMostViewedPlan"
